"filename", "language", "SCSS", "JavaScript", "XML", "Vue", "CSS", "comment", "blank", "total"
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/composables/useEmailValidation.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconDashboardEmpty.vue", "Vue", 0, 0, 0, 89, 0, 0, 1, 90
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconInstagram.vue", "Vue", 0, 0, 0, 7, 0, 0, 1, 8
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconLinkOff.vue", "Vue", 0, 0, 0, 6, 0, 0, 1, 7
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconMessageSent.vue", "Vue", 0, 0, 0, 30, 0, 0, 1, 31
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconNext.vue", "Vue", 0, 0, 0, 10, 0, 0, 1, 11
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconPageFirst.vue", "Vue", 0, 0, 0, 7, 0, 0, 1, 8
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconPageLast.vue", "Vue", 0, 0, 0, 7, 0, 0, 1, 8
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconPageNext.vue", "Vue", 0, 0, 0, 7, 0, 0, 1, 8
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconPagePrev.vue", "Vue", 0, 0, 0, 7, 0, 0, 1, 8
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconPrevious.vue", "Vue", 0, 0, 0, 7, 0, 0, 1, 8
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconProducts.vue", "Vue", 0, 0, 0, 45, 0, 0, 1, 46
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconSendMessage.vue", "Vue", 0, 0, 0, 22, 0, 0, 1, 23
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconShopify.vue", "Vue", 0, 0, 0, 26, 0, 0, 4, 30
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/IconWoo.vue", "Vue", 0, 0, 0, 12, 0, 0, 1, 13
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/Logo.vue", "Vue", 0, 0, 0, 45, 0, 0, 1, 46
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/LogoDark.vue", "Vue", 0, 0, 0, 45, 0, 0, 1, 46
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/icons/LogoSmall.vue", "Vue", 0, 0, 0, 21, 0, 0, 1, 22
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/layouts/loggedIn.vue", "Vue", 0, 0, 0, 18, 0, 0, 3, 21
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/layouts/loggedOut.vue", "Vue", 0, 0, 0, 15, 0, 0, 2, 17
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/layouts/onboarding.vue", "Vue", 0, 0, 0, 15, 0, 0, 2, 17
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/main.js", "JavaScript", 0, 144, 0, 0, 0, 18, 20, 182
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/router/index.js", "JavaScript", 0, 177, 0, 0, 0, 7, 8, 192
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/routes.js", "JavaScript", 0, 25, 0, 0, 0, 2, 3, 30
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/activityCenter/actions/deleteActivity.js", "JavaScript", 0, 8, 0, 0, 0, 0, 1, 9
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/activityCenter/actions/fetchActivities.js", "JavaScript", 0, 28, 0, 0, 0, 12, 9, 49
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/activityCenter/index.js", "JavaScript", 0, 71, 0, 0, 0, 1, 6, 78
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/auth/actions/fetchUser.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 8
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/auth/actions/forgotPassword.js", "JavaScript", 0, 20, 0, 0, 0, 0, 2, 22
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/auth/actions/login.js", "JavaScript", 0, 23, 0, 0, 0, 9, 5, 37
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/auth/actions/registerUser.js", "JavaScript", 0, 30, 0, 0, 0, 0, 5, 35
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/auth/actions/saveShopifyToken.js", "JavaScript", 0, 13, 0, 0, 0, 0, 3, 16
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/auth/actions/shopifyLogin.js", "JavaScript", 0, 40, 0, 0, 0, 0, 7, 47
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/auth/actions/updateStoreType.js", "JavaScript", 0, 15, 0, 0, 0, 0, 2, 17
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/auth/index.js", "JavaScript", 0, 87, 0, 0, 0, 13, 9, 109
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/connectPartnerStore.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/deleteConnection.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/fetchConnections.js", "JavaScript", 0, 18, 0, 0, 0, 2, 5, 25
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/fetchCurrentStore.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/fetchDestinationLocations.js", "JavaScript", 0, 10, 0, 0, 0, 0, 3, 13
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/fetchMetadata.js", "JavaScript", 0, 9, 0, 0, 0, 0, 1, 10
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/fetchSourceLocations.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/invitePartnerStore.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/toggleMultilocation.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 12
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/updateEmail.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/actions/updateLocation.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/connections/index.js", "JavaScript", 0, 127, 0, 0, 0, 1, 21, 149
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/marketPlace/actions/fetchProfile.js", "JavaScript", 0, 33, 0, 0, 0, 0, 2, 35
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/marketPlace/actions/fetchProfiles.js", "JavaScript", 0, 36, 0, 0, 0, 0, 6, 42
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/marketPlace/actions/sendMessage.js", "JavaScript", 0, 13, 0, 0, 0, 0, 3, 16
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/marketPlace/actions/updateProfile.js", "JavaScript", 0, 60, 0, 0, 0, 0, 9, 69
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/marketPlace/index.js", "JavaScript", 0, 296, 0, 0, 0, 1, 7, 304
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/orders/actions/bulkPushOrders.js", "JavaScript", 0, 17, 0, 0, 0, 0, 4, 21
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/orders/actions/fetchOrder.js", "JavaScript", 0, 8, 0, 0, 0, 0, 1, 9
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/orders/actions/fetchOrders.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 19
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/orders/actions/fetchPushSettings.js", "JavaScript", 0, 24, 0, 0, 0, 0, 5, 29
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/orders/actions/pushOrder.js", "JavaScript", 0, 19, 0, 0, 0, 0, 3, 22
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/orders/actions/toggleAutoPush.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 6
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/orders/actions/updatePushSettings.js", "JavaScript", 0, 19, 0, 0, 0, 0, 3, 22
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/orders/index.js", "JavaScript", 0, 88, 0, 0, 0, 1, 7, 96
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/confirmPayout.js", "JavaScript", 0, 13, 0, 0, 0, 0, 3, 16
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/createPayout.js", "JavaScript", 0, 28, 0, 0, 0, 0, 4, 32
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/deletePayout.js", "JavaScript", 0, 19, 0, 0, 0, 0, 1, 20
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/fetchPaidPayouts.js", "JavaScript", 0, 28, 0, 0, 0, 0, 4, 32
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/fetchPayableOrders.js", "JavaScript", 0, 20, 0, 0, 0, 0, 2, 22
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/fetchPayout.js", "JavaScript", 0, 25, 0, 0, 0, 0, 6, 31
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/fetchPayoutEvents.js", "JavaScript", 0, 16, 0, 0, 0, 0, 1, 17
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/fetchPayoutOrders.js", "JavaScript", 0, 35, 0, 0, 0, 0, 6, 41
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/fetchPayoutPreview.js", "JavaScript", 0, 15, 0, 0, 0, 0, 3, 18
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/fetchSourcePayouts.js", "JavaScript", 0, 39, 0, 0, 0, 0, 6, 45
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/fetchUnpaidPayouts.js", "JavaScript", 0, 28, 0, 0, 0, 0, 4, 32
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/actions/updatePayout.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payouts/index.js", "JavaScript", 0, 102, 0, 0, 0, 1, 7, 110
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payoutsSettings/actions/bulkCommissionsUpdate.js", "JavaScript", 0, 69, 0, 0, 0, 0, 9, 78
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payoutsSettings/actions/deleteCommission.js", "JavaScript", 0, 16, 0, 0, 0, 0, 1, 17
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payoutsSettings/actions/fetchByProduct.js", "JavaScript", 0, 28, 0, 0, 0, 0, 6, 34
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payoutsSettings/actions/updateStoreCommission.js", "JavaScript", 0, 17, 0, 0, 0, 0, 3, 20
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/payoutsSettings/index.js", "JavaScript", 0, 60, 0, 0, 0, 1, 6, 67
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/plan/actions/activateCharge.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 21
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/plan/actions/fetchCurrentPlan.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/plan/actions/fetchPlans.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 16
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/plan/actions/generateCharge.js", "JavaScript", 0, 28, 0, 0, 0, 0, 5, 33
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/plan/index.js", "JavaScript", 0, 110, 0, 0, 0, 1, 22, 133
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/productSettings/actions/fetchSettings.js", "JavaScript", 0, 32, 0, 0, 0, 0, 7, 39
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/productSettings/actions/updateSettings.js", "JavaScript", 0, 29, 0, 0, 0, 0, 4, 33
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/productSettings/index.js", "JavaScript", 0, 37, 0, 0, 0, 1, 5, 43
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/bulkSyncProducts.js", "JavaScript", 0, 14, 0, 0, 0, 0, 3, 17
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/fetchInventory.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/fetchMetaFields.js", "JavaScript", 0, 29, 0, 0, 0, 0, 6, 35
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/fetchProductDetails.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 21
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/fetchProducts.js", "JavaScript", 0, 55, 0, 0, 0, 0, 9, 64
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/mapProduct.js", "JavaScript", 0, 14, 0, 0, 0, 0, 3, 17
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/resyncProduct.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/searchProduct.js", "JavaScript", 0, 14, 0, 0, 0, 0, 3, 17
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/searchStoreProducts.js", "JavaScript", 0, 13, 0, 0, 0, 0, 3, 16
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/startBulkMapper.js", "JavaScript", 0, 15, 0, 0, 0, 0, 4, 19
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/syncProduct.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/actions/unsyncProduct.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/stores/products/index.js", "JavaScript", 0, 132, 0, 0, 0, 3, 8, 143
